task,bin_index,bin_lower,bin_upper,count,avg_confidence,accuracy,gap
novelty,0,0.0,0.2,0,0.0,0.0,0.0
novelty,1,0.2,0.4,0,0.0,0.0,0.0
novelty,2,0.4,0.6,2,0.4917248112528956,1.0,0.5082751887471044
novelty,3,0.6,0.8,6,0.7071607091271414,1.0,0.29283929087285865
novelty,4,0.8,1.0,4,0.9431240811155758,1.0,0.056875918884424226
