task,bin_index,bin_lower,bin_upper,count,avg_confidence,accuracy,gap
novelty,0,0.0,0.2,0,0.0,0.0,0.0
novelty,1,0.2,0.4,0,0.0,0.0,0.0
novelty,2,0.4,0.6,12,0.4663217542508344,0.25,0.21632175425083439
novelty,3,0.6,0.8,0,0.0,0.0,0.0
novelty,4,0.8,1.0,0,0.0,0.0,0.0
