task,bin_index,bin_lower,bin_upper,count,avg_confidence,accuracy,gap
disruption,0,0.0,0.2,0,0.0,0.0,0.0
disruption,1,0.2,0.4,0,0.0,0.0,0.0
disruption,2,0.4,0.6,4,0.5185303700045013,0.5,0.018530370004501306
disruption,3,0.6,0.8,3,0.6972709955028424,0.6666666666666666,0.03060432883617581
disruption,4,0.8,1.0,5,0.8745111844608455,1.0,0.12548881553915447
